codepoint,jyutping,char
U+3400,jau1,㐀
U+3403,zim1,㐃
U+3404,kwaa1,㐄
U+3405,ng5,㐅
U+3407,gau2,㐇
U+3408,jap6,㐈
U+3409,ding1,㐉
U+340A,si6,㐊
U+340B,tou2,㐋
U+340C,ji4,㐌
U+340D,zaau2,㐍
U+340E,man4,㐎
U+340F,ng5,㐏
U+3410,nou4,㐐
U+3411,dung1,㐑
U+3412,ziu6,㐒
U+3413,ho2,㐓
U+3414,hang1,㐔
U+3415,jau4,㐕
U+3417,lou5,㐗
U+3418,mai5,㐘
U+3419,dau6,㐙
U+341A,ng4,㐚
U+341B,jau6,㐛
U+341D,keoi1,㐝
U+341E,kei4,㐞
U+341F,fei1,㐟
U+3420,jyu5,㐠
U+3421,no6,㐡
U+3422,fau4,㐢
U+3423,fu3,㐣
U+3425,co4,㐥
U+3426,geoi2,㐦
U+3428,zeoi6,㐨
U+342A,si2,㐪
U+342B,hung1,㐫
U+342C,lau4,㐬
U+342D,lam5,㐭
U+342E,soeng1,㐮
U+342F,jung4,㐯
U+3430,seon3,㐰
U+3431,can2,㐱
U+3432,daai6,㐲
U+3433,ngat6,㐳
U+3434,paan1,㐴
U+3435,jyu4,㐵
U+3436,ci5,㐶
U+3437,maa6,㐷
U+3438,him3,㐸
U+3439,hei3,㐹
U+343B,noi6,㐻
U+343C,cing2,㐼
U+343D,fung1,㐽
U+343E,wun6,㐾
U+343F,sau2,㐿
U+3440,taai3,㑀
U+3442,fong2,㑂
U+3444,mou5,㑄
U+3445,zok3,㑅
U+3446,hing1,㑆
U+3447,zau3,㑇
U+3448,dung1,㑈
U+344C,hong1,㑌
U+344E,nou5,㑎
U+344F,cyu5,㑏
U+3450,suk1,㑐
U+3451,zat6,㑑
U+3452,cim1,㑒
U+3453,zeon3,㑓
U+3454,seoi2,㑔
U+3455,seoi3,㑕
U+3456,zung6,㑖
U+3458,gaai3,㑘
U+345D,lung6,㑝
U+3460,gin1,㑠
U+3461,zik1,㑡
U+3462,koek3,㑢
U+3467,gwai3,㑧
U+3469,lo4,㑩
U+346A,caai4,㑪
U+346B,nim6,㑫
U+346C,gu1,㑬
U+346D,bei2,㑭
U+346F,seoi2,㑯
U+3472,naam4,㑲
U+3473,zau3,㑳
U+3474,cam1,㑴
U+3475,zat6,㑵
U+3476,hei3,㑶
U+3477,taai3,㑷
U+3479,wui6,㑹
U+347A,zeon3,㑺
U+347C,loek6,㑼
U+347D,tong4,㑽
U+3485,kai2,㒅
U+3486,kap1,㒆
U+3487,mou5,㒇
U+348B,si1,㒋
U+348C,king4,㒌
U+348F,hon4,㒏
U+3490,seon2,㒐
U+3492,buk6,㒒
U+3493,taat3,㒓
U+3494,suk6,㒔
U+3497,toi4,㒗
U+3498,syu6,㒘
U+3499,min4,㒙
U+349A,wan2,㒚
U+349D,mit6,㒝
U+349E,wai6,㒞
U+349F,niu5,㒟
U+34A0,haai6,㒠
U+34A2,joek6,㒢
U+34A3,jing3,㒣
U+34A5,fung1,㒥
U+34A6,leoi5,㒦
U+34A7,lai6,㒧
U+34A8,sin1,㒨
U+34A9,lo2,㒩
U+34AA,sek3,㒪
U+34AB,gei3,㒫
U+34AC,wong1,㒬
U+34AE,fui1,㒮
U+34AF,jip6,㒯
U+34B0,cyun4,㒰
U+34B1,zik6,㒱
U+34B2,coi4,㒲
U+34B3,loeng5,㒳
U+34B4,gwat1,㒴
U+34B6,gung1,㒶
U+34B7,hing1,㒷
U+34B8,seoi6,㒸
U+34B9,din1,㒹
U+34BA,mong5,㒺
U+34BB,mou6,㒻
U+34BC,mun4,㒼
U+34BD,hyun1,㒽
U+34BF,lei4,㒿
U+34C0,buk1,㓀
U+34C1,mong5,㓁
U+34C3,dou3,㓃
U+34C5,ting1,㓅
U+34C6,leon4,㓆
U+34C7,juk1,㓇
U+34C9,wut6,㓉
U+34CA,dung6,㓊
U+34CB,gung6,㓋
U+34CC,cang1,㓌
U+34CD,cung1,㓍
U+34CF,gwing2,㓏
U+34D0,luk6,㓐
U+34D2,cat1,㓒
U+34D4,ze6,㓔
U+34D5,mit6,㓕
U+34D7,git3,㓗
U+34D8,suk1,㓘
U+34D9,hung1,㓙
U+34DA,gung1,㓚
U+34DB,gung1,㓛
U+34DE,kit3,㓞
U+34DF,pai1,㓟
U+34E0,dim3,㓠
U+34E1,fu2,㓡
U+34E4,gat1,㓤
U+34E5,tong1,㓥
U+34E6,baak3,㓦
U+34E8,ci3,㓨
U+34E9,hyun1,㓩
U+34EA,long5,㓪
U+34EB,fu1,㓫
U+34EC,fu1,㓬
U+34ED,hot3,㓭
U+34EE,diu1,㓮
U+34EF,lei4,㓯
U+34F0,waak6,㓰
U+34F3,dai1,㓳
U+34F5,ngok6,㓵
U+34F6,kit3,㓶
U+34F7,ji6,㓷
U+34F8,zoek3,㓸
U+34FA,kin4,㓺
U+34FB,gong1,㓻
U+34FC,cat1,㓼
U+34FD,sung4,㓽
U+34FE,sai1,㓾
U+34FF,syu2,㓿
U+3500,king4,㔀
U+3502,leon4,㔂
U+3503,zyut6,㔃
U+3504,suk1,㔄
U+3505,siu3,㔅
U+3506,caam5,㔆
U+3507,put3,㔇
U+3508,fei6,㔈
U+3509,zuk1,㔉
U+350C,zau6,㔌
U+350E,sit3,㔎
U+350F,lik6,㔏
U+3510,cim1,㔐
U+3511,cat1,㔑
U+3512,kwai4,㔒
U+3513,gin2,㔓
U+3514,gaa1,㔔
U+3516,gaa1,㔖
U+351B,kit3,㔛
U+351C,but6,㔜
U+351D,loeng5,㔝
U+351F,sai3,㔟
U+3520,hat6,㔠
U+3521,bit3,㔡
U+3522,dyut3,㔢
U+3527,leoi6,㔧
U+3528,bui3,㔨
U+3529,aap6,㔩
U+352A,lou5,㔪
U+352B,lung4,㔫
U+352C,coek3,㔬
U+352D,ci4,㔭
U+352E,no4,㔮
U+3530,hang4,㔰
U+3531,jyu4,㔱
U+3532,gwai2,㔲
U+3535,syun2,㔵
U+3536,gung3,㔶
U+3537,lau6,㔷
U+3539,lak6,㔹
U+353B,pei1,㔻
U+353C,seon2,㔼
U+353E,cim1,㔾
U+353F,zau3,㔿
U+3540,wai3,㕀
U+3541,koek3,㕁
U+3545,gaap3,㕅
U+3546,wu6,㕆
U+3549,hap6,㕉
U+354A,bou1,㕊
U+354B,kam4,㕋
U+354C,ngoi6,㕌
U+354D,deoi1,㕍
U+354E,hap6,㕎
U+354F,cyu4,㕏
U+3550,se2,㕐
U+3551,cyu4,㕑
U+3553,cin4,㕓
U+3554,teng1,㕔
U+3556,sou3,㕖
U+3558,caam1,㕘
U+3559,zeon3,㕙
U+355A,zaau2,㕚
U+355C,si2,㕜
U+355D,si6,㕝
U+355E,caat3,㕞
U+355F,wai2,㕟
U+3560,soeng1,㕠
U+3561,kok3,㕡
U+3562,haai6,㕢
U+3563,jin5,㕣
U+3565,ji5,㕥
U+3566,waa6,㕦
U+3567,si1,㕧
U+3568,faan6,㕨
U+356A,dam2,㕪
U+356C,zung1,㕬
U+356D,aau3,㕭
U+356E,fu2,㕮
U+356F,neot6,㕯
U+3572,muk1,㕲
U+3573,hung1,㕳
U+3575,gwok3,㕵
U+3576,ng2,㕶
