codepoint,pinyin,char
U+3007,ling2|yuan2|xing1,〇
U+3400,qiu1,㐀
U+3401,tian4,㐁
U+3404,kua4,㐄
U+3405,wu3,㐅
U+3406,yin3,㐆
U+340C,yi2,㐌
U+3416,xie2,㐖
U+341C,chou2,㐜
U+3421,nuo4,㐡
U+3424,dan1|qiu2,㐤
U+3428,xu4,㐨
U+3429,xing2,㐩
U+342B,xiong1,㐫
U+342C,liu2,㐬
U+342D,lin3,㐭
U+342E,xiang1,㐮
U+342F,yong1,㐯
U+3430,xin4,㐰
U+3431,zhen3,㐱
U+3432,dai4,㐲
U+3433,wu4,㐳
U+3434,pan1,㐴
U+3435,ru2,㐵
U+3437,ma3,㐷
U+3438,qian4|ci4,㐸
U+3439,yi4,㐹
U+343A,yin2|zhong4,㐺
U+343B,nei4,㐻
U+343C,cheng4,㐼
U+343D,feng1,㐽
U+3441,zhuo1,㑁
U+3442,fang3,㑂
U+3443,ao3,㑃
U+3444,wu3,㑄
U+3445,zuo4,㑅
U+3447,zhou4,㑇
U+3448,dong4,㑈
U+3449,su4,㑉
U+344A,yi4,㑊
U+344B,qiong2,㑋
U+344C,kuang1|wang1,㑌
U+344D,lei4,㑍
U+344E,nao3,㑎
U+344F,zhu4,㑏
U+3450,shu1,㑐
U+3454,xu3,㑔
U+3457,shen1,㑗
U+3458,jie4,㑘
U+3459,die2,㑙
U+345A,nuo2,㑚
U+345B,su4,㑛
U+345C,yi4|chi4,㑜
U+345D,long4,㑝
U+345E,ying4,㑞
U+345F,beng3,㑟
U+3463,lan2,㑣
U+3464,miao2,㑤
U+3465,yi4,㑥
U+3466,li4,㑦
U+3467,ji4,㑧
U+3468,yu3,㑨
U+3469,luo2,㑩
U+346A,chai2,㑪
U+346E,hun2,㑮
U+346F,xu3,㑯
U+3470,hui4,㑰
U+3471,rao3,㑱
U+3473,zhou4|zhu1,㑳
U+3475,han4,㑵
U+3476,xi4,㑶
U+3477,tai4,㑷
U+3478,yao2,㑸
U+3479,hui4,㑹
U+347A,jun4,㑺
U+347B,ma4,㑻
U+347C,lve4,㑼
U+347D,tang2,㑽
U+347E,yao2,㑾
U+347F,zhao4,㑿
U+3480,zhai1|zha3,㒀
U+3481,yu3,㒁
U+3482,zhuo2,㒂
U+3483,er4,㒃
U+3484,ran3,㒄
U+3485,qi3,㒅
U+3486,chi4,㒆
U+3487,wu3,㒇
U+3488,han4,㒈
U+3489,tang3,㒉
U+348A,se4,㒊
U+348B,si1,㒋
U+348C,qiong2,㒌
U+348D,lei2,㒍
U+348E,sa4,㒎
U+3491,kui3|hui4,㒑
U+3492,pu2,㒒
U+3493,ta4,㒓
U+3494,shu2|du2|tu4,㒔
U+3495,yang1,㒕
U+3496,ou3,㒖
U+3497,tai2,㒗
U+3499,mian2,㒙
U+349A,yin4|wen3,㒚
U+349B,diao4,㒛
U+349C,yu3,㒜
U+349D,mie4|wa4,㒝
U+349E,jun4,㒞
U+349F,niao3,㒟
U+34A0,xie4,㒠
U+34A1,you2,㒡
U+34A4,che4,㒤
U+34A5,feng1,㒥
U+34A6,lei3|lei4,㒦
U+34A7,li4,㒧
U+34A9,luo3,㒩
U+34AB,ji4,㒫
U+34B0,quan2,㒰
U+34B2,cai2,㒲
U+34B3,liang3,㒳
U+34B4,gu3,㒴
U+34B5,mao4,㒵
U+34B7,gua3,㒷
U+34B8,sui4,㒸
U+34BB,mao4,㒻
U+34BC,man2,㒼
U+34BD,quan1,㒽
U+34BE,shi4,㒾
U+34BF,li2,㒿
U+34C1,wang3,㓁
U+34C2,kou4,㓂
U+34C3,du4,㓃
U+34C4,zhen4,㓄
U+34C5,ting1,㓅
U+34C8,bing4,㓈
U+34C9,huo4,㓉
U+34CA,dong4,㓊
U+34CB,gong4,㓋
U+34CC,cheng1,㓌
U+34CE,qin1|qin4|qin3,㓎
U+34CF,jiong3,㓏
U+34D0,lu4,㓐
U+34D1,xing4,㓑
U+34D3,nan2,㓓
U+34D4,xie4,㓔
U+34D6,bi4,㓖
U+34D7,jie2,㓗
U+34D8,su4,㓘
U+34DA,gong1,㓚
U+34DC,you4,㓜
U+34DD,xing2,㓝
U+34DE,qia4,㓞
U+34DF,pi2,㓟
U+34E0,dian4|dian3,㓠
U+34E1,fu3|gua1,㓡
U+34E2,luo4,㓢
U+34E3,qia4|ge1,㓣
U+34E4,qia4,㓤
U+34E5,tang1,㓥
U+34E6,bai1,㓦
U+34E7,gan1,㓧
U+34E8,ci2,㓨
U+34E9,xuan1|jie1,㓩
U+34EA,lang3,㓪
U+34ED,she2,㓭
U+34EE,diao1,㓮
U+34EF,li2,㓯
U+34F0,hua4,㓰
U+34F1,tou2|shu1,㓱
U+34F2,pian1,㓲
U+34F3,di1,㓳
U+34F4,ruan3,㓴
U+34F5,e4,㓵
U+34F6,qie4,㓶
U+34F7,yi4,㓷
U+34F8,zhuo1|dou1,㓸
U+34F9,rui4|cui4|ji4,㓹
U+34FA,jian1|qian2,㓺
U+34FC,chi4,㓼
U+34FD,chong2,㓽
U+34FE,xi1|chi2,㓾
U+3500,lve4,㔀
U+3501,deng1,㔁
U+3502,lin2,㔂
U+3503,jue2|xue1,㔃
U+3504,su4,㔄
U+3505,xiao4,㔅
U+3506,zan4,㔆
U+3509,zhu3,㔉
U+350A,zhan3|dan3,㔊
U+350B,jian1|lan2,㔋
U+350C,zou4|cou3,㔌
U+350D,chua1|zha2,㔍
U+350E,xie4,㔎
U+350F,li4|luo3,㔏
U+3511,chi4,㔑
U+3512,xi2,㔒
U+3513,jian3,㔓
U+3515,ji2,㔕
U+3517,fei4|bei4|fu2,㔗
U+3518,chu4,㔘
U+3519,beng1,㔙
U+351A,jie2,㔚
U+351C,ba2,㔜
U+351D,liang3|liang2,㔝
U+351E,kuai4,㔞
U+3520,xia1|he2,㔠
U+3521,bie1,㔡
U+3522,jue2|xue1,㔢
U+3523,lei2,㔣
U+3524,xin4,㔤
U+3525,bai4|pi2,㔥
U+3526,yang3,㔦
U+3527,lv4,㔧
U+3528,bei4,㔨
U+3529,e4,㔩
U+352A,lu3,㔪
U+352D,che4,㔭
U+352E,nuo2,㔮
U+352F,xuan2|suan3,㔯
U+3530,heng2,㔰
U+3531,yu3,㔱
U+3533,gui3,㔳
U+3534,yi4,㔴
U+3535,xuan3,㔵
U+3536,gong4|gan3,㔶
U+3537,lou4,㔷
U+3538,ti1,㔸
U+3539,le4,㔹
U+353A,shi4,㔺
U+353C,sun3,㔼
U+353D,yao4,㔽
U+353E,xian1|jie2,㔾
U+353F,zou4,㔿
U+3541,que4,㕁
U+3542,yin2|qin2,㕂
U+3543,xi1,㕃
U+3544,zhi3,㕄
U+3545,jia2,㕅
U+3546,hu4,㕆
U+3547,la1,㕇
U+3548,yi3,㕈
U+3549,ke4,㕉
U+354A,fu1,㕊
U+354B,qin2,㕋
U+354C,ai4,㕌
U+354E,ke4,㕎
U+354F,chu2,㕏
U+3550,xie3|xie4,㕐
U+3551,chu2,㕑
U+3552,wei1,㕒
U+3555,huan4,㕕
U+3556,su4,㕖
U+3557,you4,㕗
U+3559,jun4,㕙
U+355A,zhao3,㕚
U+355B,xu4,㕛
U+355C,shi3,㕜
U+355E,shua1,㕞
U+355F,kui4|kuai4,㕟
U+3560,shuang1,㕠
U+3561,he2,㕡
U+3562,gai4|hai4,㕢
U+3563,yan3,㕣
U+3564,qiu2,㕤
U+3565,shen1,㕥
U+3566,hua4,㕦
U+3567,xi1,㕧
U+3568,fan4,㕨
U+3569,pang4,㕩
U+356A,dan3,㕪
U+356B,fang3|feng1,㕫
U+356C,gong1|song4,㕬
U+356D,ao1|ao4,㕭
U+356E,fu3,㕮
U+356F,ne4,㕯
U+3570,xue4|ma,㕰
U+3571,you2,㕱
U+3572,hua2|ying2,㕲
U+3574,chen2,㕴
U+3575,guo2,㕵
U+3576,n3|ng3,㕶
U+3577,hua4|pa1,㕷
U+3578,li4,㕸
U+3579,fa2,㕹
U+357A,xiao1,㕺
U+357B,pou3,㕻
U+357D,si4,㕽
U+3580,le4,㖀
U+3581,lin4,㖁
U+3582,yi4,㖂
U+3583,hou3|hou4,㖃
U+3585,xu4,㖅
U+3586,qu2,㖆
U+3587,er2,㖇
U+358A,xun2,㖊
U+358F,nie4,㖏
U+3590,wei3,㖐
U+3591,xie4,㖑
U+3592,ti2,㖒
U+3593,hong2,㖓
U+3594,tun3,㖔
U+3595,nie4|xin1,㖕
U+3596,nie4,㖖
U+3597,yin2,㖗
U+3598,zhen1,㖘
U+359E,wai1,㖞
U+359F,shou4,㖟
U+35A0,nuo4,㖠
U+35A1,ye4,㖡
U+35A2,qi2,㖢
U+35A3,tou4,㖣
U+35A4,han2,㖤
U+35A5,jun4,㖥
U+35A6,dong3,㖦
U+35A7,hun1|wen3,㖧
U+35A8,lu4,㖨
U+35A9,ju1|sou3,㖩
U+35AA,huo4|guo2|xu4,㖪
U+35AB,ling2,㖫
U+35AD,tian3,㖭
U+35AE,lun2,㖮
U+35B5,ge2,㖵
U+35B6,yan1|ye4|yin1,㖶
U+35B7,shi2|ti2,㖷
U+35B8,xue2|nia1,㖸
U+35B9,pen1|fen4,㖹
U+35BA,chun3,㖺
U+35BB,niu2|rou4,㖻
U+35BC,duo3,㖼
U+35BD,ze2,㖽
U+35BE,e4,㖾
U+35BF,xie2|ye2,㖿
U+35C0,you1,㗀
U+35C1,e4,㗁
U+35C2,sheng3,㗂
U+35C3,wen3|hun1,㗃
U+35C4,ku1,㗄
U+35C5,hu2,㗅
U+35C6,ge2,㗆
U+35C7,xia2|ya,㗇
U+35C8,man4,㗈
U+35C9,lve4|e4,㗉
U+35CA,ji2|lei2,㗊
U+35CB,hou2,㗋
U+35CC,zhi4,㗌
U+35CF,wai1,㗏
U+35D1,bai,㗑
U+35D2,ai4,㗒
U+35D3,zhui1,㗓
U+35D4,qian1,㗔
U+35D5,gou4|gou1,㗕
U+35D6,dan4,㗖
U+35D7,bei1,㗗
U+35D8,bo2,㗘
U+35D9,chu1|na4|zhou1,㗙
U+35DA,li4,㗚
U+35DB,xiao4,㗛
U+35DC,xiu4,㗜
U+35E2,hong2|dong4|hong4,㗢
U+35E3,ti4,㗣
U+35E4,cu4,㗤
U+35E5,kuo4|guo1,㗥
U+35E6,lao2,㗦
U+35E7,zhi4|die2,㗧
U+35E8,xie1|ai3,㗨
U+35E9,xi1,㗩
U+35EB,qie4,㗫
U+35EC,zha1,㗬
U+35ED,xi1,㗭
U+35F0,cong2,㗰
U+35F1,ji2,㗱
U+35F2,huo4,㗲
U+35F3,ta3|da1,㗳
U+35F4,yan2,㗴
U+35F5,xu4,㗵
U+35F6,po1,㗶
U+35F7,sai3,㗷
U+35FB,guo1,㗻
U+35FC,ye4,㗼
U+35FD,xiang3,㗽
U+35FE,xue1,㗾
U+35FF,he2|xia4|xia1,㗿
U+3600,zuo4,㘀
U+3601,yi4,㘁
U+3602,ci2,㘂
U+3604,leng1,㘄
U+3605,xian2,㘅
U+3606,tai3,㘆
U+3607,rong2,㘇
U+3608,yi4|ni3,㘈
U+3609,zhi4,㘉
U+360A,xi1|yi4,㘊
U+360B,xian2,㘋
U+360C,ju4,㘌
U+360D,ji2,㘍
U+360E,han3,㘎
U+3610,pao4,㘐
U+3611,li4,㘑
U+3613,lan2,㘓
U+3614,sai3,㘔
U+3615,han3|lan2,㘕
U+3616,yan2,㘖
U+3617,qu1,㘗
U+3619,yan2,㘙
U+361A,han3,㘚
U+361B,kan1,㘛
U+361C,chi3,㘜
U+361D,nie4,㘝
U+361E,huo4,㘞
U+3620,bi4,㘠
U+3621,xia2,㘡
U+3622,weng3,㘢
U+3623,xuan2|yuan2,㘣
U+3624,wan1,㘤
U+3625,you2,㘥
U+3626,qin2,㘦
