codepoint,radical,residual,char
U+3400,1,4,㐀
U+3401,1,5,㐁
U+3402,1,5,㐂
U+3403,2,2,㐃
U+3404,2,2,㐄
U+3405,4,1,㐅
U+3406,4,5,㐆
U+3407,5,2,㐇
U+3408,5,2,㐈
U+3409,5,2,㐉
U+340A,5,3,㐊
U+340B,5,3,㐋
U+340C,5,4,㐌
U+340D,5,4,㐍
U+340E,5,4,㐎
U+340F,5,4,㐏
U+3410,5,5,㐐
U+3411,5,5,㐑
U+3412,5,5,㐒
U+3413,5,5,㐓
U+3414,5,5,㐔
U+3415,5,5,㐕
U+3416,5,6,㐖
U+3417,5,6,㐗
U+3418,5,6,㐘
U+3419,5,7,㐙
U+341A,5,7,㐚
U+341B,5,7,㐛
U+341C,5,8,㐜
U+341D,5,8,㐝
U+341E,5,8,㐞
U+341F,5,8,㐟
U+3420,5,8,㐠
U+3421,5,10,㐡
U+3422,5,10,㐢
U+3423,5,10,㐣
U+3424,5,11,㐤
U+3425,5,15,㐥
U+3426,5,18,㐦
U+3427,6,3,㐧
U+3428,6,7,㐨
U+3429,7,6,㐩
U+342A,8,4,㐪
U+342B,8,4,㐫
U+342C,8,5,㐬
U+342D,8,6,㐭
U+342E,8,11,㐮
U+342F,8,15,㐯
U+3430,9,3,㐰
U+3431,9,3,㐱
U+3432,9,3,㐲
U+3433,9,3,㐳
U+3434,9,3,㐴
U+3435,9,3,㐵
U+3436,9,3,㐶
U+3437,9,3,㐷
U+3438,9,4,㐸
U+3439,9,4,㐹
U+343A,9,4,㐺
U+343B,9,4,㐻
U+343C,9,4,㐼
U+343D,9,4,㐽
U+343E,9,4,㐾
U+343F,9,4,㐿
U+3440,9,4,㑀
U+3441,9,5,㑁
U+3442,9,5,㑂
U+3443,9,5,㑃
U+3444,9,5,㑄
U+3445,9,5,㑅
U+3446,9,5,㑆
U+3447,9,5,㑇
U+3448,9,5,㑈
U+3449,9,6,㑉
U+344A,9,6,㑊
U+344B,9,6,㑋
U+344C,9,6,㑌
U+344D,9,6,㑍
U+344E,9,6,㑎
U+344F,9,6,㑏
U+3450,9,6,㑐
U+3451,9,6,㑑
U+3452,9,6,㑒
U+3453,9,6,㑓
U+3454,9,6,㑔
U+3455,9,6,㑕
U+3456,9,6,㑖
U+3457,9,7,㑗
U+3458,9,7,㑘
U+3459,9,7,㑙
U+345A,9,7,㑚
U+345B,9,7,㑛
U+345C,9,7,㑜
U+345D,9,7,㑝
U+345E,9,7,㑞
U+345F,9,7,㑟
U+3460,9,7,㑠
U+3461,9,7,㑡
U+3462,9,7,㑢
U+3463,9,8,㑣
U+3464,9,9,㑤
U+3465,9,8,㑥
U+3466,9,8,㑦
U+3467,9,8,㑧
U+3468,9,8,㑨
U+3469,9,8,㑩
U+346A,9,8,㑪
U+346B,9,8,㑫
U+346C,9,8,㑬
U+346D,9,8,㑭
U+346E,9,9,㑮
U+346F,9,9,㑯
U+3470,9,9,㑰
U+3471,9,9,㑱
U+3472,9,9,㑲
U+3473,9,10,㑳
U+3474,9,10,㑴
U+3475,9,10,㑵
U+3476,9,10,㑶
U+3477,9,10,㑷
U+3478,9,10,㑸
U+3479,9,10,㑹
U+347A,9,10,㑺
U+347B,9,11,㑻
U+347C,9,11,㑼
U+347D,9,11,㑽
U+347E,9,11,㑾
U+347F,9,11,㑿
U+3480,9,11,㒀
U+3481,9,11,㒁
U+3482,9,12,㒂
U+3483,9,12,㒃
U+3484,9,12,㒄
U+3485,9,12,㒅
U+3486,9,12,㒆
U+3487,9,12,㒇
U+3488,9,12,㒈
U+3489,9,12,㒉
U+348A,9,12,㒊
U+348B,9,12,㒋
U+348C,9,12,㒌
U+348D,9,12,㒍
U+348E,9,12,㒎
U+348F,9,12,㒏
U+3490,9,12,㒐
U+3491,9,13,㒑
U+3492,9,13,㒒
U+3493,9,13,㒓
U+3494,9,13,㒔
U+3495,9,13,㒕
U+3496,9,13,㒖
U+3497,9,13,㒗
U+3498,9,13,㒘
U+3499,9,14,㒙
U+349A,9,14,㒚
U+349B,9,14,㒛
U+349C,9,14,㒜
U+349D,9,15,㒝
U+349E,9,15,㒞
U+349F,9,16,㒟
U+34A0,9,16,㒠
U+34A1,9,17,㒡
U+34A2,9,17,㒢
U+34A3,9,17,㒣
U+34A4,9,18,㒤
U+34A5,9,18,㒥
U+34A6,9,18,㒦
U+34A7,9,19,㒧
U+34A8,9,19,㒨
U+34A9,9,21,㒩
U+34AA,9,24,㒪
U+34AB,10,4,㒫
U+34AC,10,6,㒬
U+34AD,10,8,㒭
U+34AE,10,9,㒮
U+34AF,10,16,㒯
U+34B0,11,3,㒰
U+34B1,11,3,㒱
U+34B2,11,4,㒲
U+34B3,11,5,㒳
U+34B4,11,5,㒴
U+34B5,12,5,㒵
U+34B6,12,5,㒶
U+34B7,12,5,㒷
U+34B8,12,7,㒸
U+34B9,12,18,㒹
U+34BA,13,6,㒺
U+34BB,13,9,㒻
U+34BC,13,9,㒼
U+34BD,13,10,㒽
U+34BE,13,11,㒾
U+34BF,13,20,㒿
U+34C0,14,2,㓀
U+34C1,14,2,㓁
U+34C2,14,7,㓂
U+34C3,14,10,㓃
U+34C4,14,13,㓄
U+34C5,15,2,㓅
U+34C6,15,4,㓆
U+34C7,15,4,㓇
U+34C8,15,5,㓈
U+34C9,15,6,㓉
U+34CA,15,6,㓊
U+34CB,15,6,㓋
U+34CC,15,6,㓌
U+34CD,15,6,㓍
U+34CE,15,7,㓎
U+34CF,15,7,㓏
U+34D0,15,8,㓐
U+34D1,15,8,㓑
U+34D2,15,8,㓒
U+34D3,15,9,㓓
U+34D4,15,10,㓔
U+34D5,15,10,㓕
U+34D6,15,11,㓖
U+34D7,15,12,㓗
U+34D8,16,9,㓘
U+34D9,17,4,㓙
U+34DA,18,3,㓚
U+34DB,18,3,㓛
U+34DC,18,3,㓜
U+34DD,18,4,㓝
U+34DE,18,4,㓞
U+34DF,18,5,㓟
U+34E0,18,5,㓠
U+34E1,18,6,㓡
U+34E2,18,6,㓢
U+34E3,18,6,㓣
U+34E4,18,6,㓤
U+34E5,18,6,㓥
U+34E6,18,6,㓦
U+34E7,18,7,㓧
U+34E8,18,7,㓨
U+34E9,18,7,㓩
U+34EA,18,7,㓪
U+34EB,18,7,㓫
U+34EC,18,8,㓬
U+34ED,18,8,㓭
U+34EE,18,8,㓮
U+34EF,18,8,㓯
U+34F0,18,8,㓰
U+34F1,18,9,㓱
U+34F2,18,9,㓲
U+34F3,18,9,㓳
U+34F4,18,9,㓴
U+34F5,18,9,㓵
U+34F6,18,9,㓶
U+34F7,18,10,㓷
U+34F8,18,10,㓸
U+34F9,18,10,㓹
U+34FA,18,10,㓺
U+34FB,18,10,㓻
U+34FC,18,11,㓼
U+34FD,18,11,㓽
U+34FE,18,12,㓾
U+34FF,18,12,㓿
U+3500,18,12,㔀
U+3501,18,12,㔁
U+3502,18,12,㔂
U+3503,18,12,㔃
U+3504,18,12,㔄
U+3505,18,12,㔅
U+3506,18,12,㔆
