codepoint,strokes,char
U+3400,5,㐀
U+3401,6,㐁
U+3404,3,㐄
U+3405,2,㐅
U+3406,6,㐆
U+340C,5,㐌
U+3416,7,㐖
U+341C,9,㐜
U+3421,11,㐡
U+3424,12,㐤
U+3428,8,㐨
U+3429,8,㐩
U+342B,6,㐫
U+342C,7,㐬
U+342D,8,㐭
U+342E,13,㐮
U+342F,17,㐯
U+3430,5,㐰
U+3431,5,㐱
U+3432,5,㐲
U+3433,5,㐳
U+3434,5,㐴
U+3435,5,㐵
U+3437,5,㐷
U+3438,6,㐸
U+3439,6,㐹
U+343A,6,㐺
U+343B,6,㐻
U+343C,6,㐼
U+343D,6,㐽
U+3441,7,㑁
U+3442,7,㑂
U+3443,7,㑃
U+3444,7,㑄
U+3445,7,㑅
U+3447,7,㑇
U+3448,7,㑈
U+3449,8,㑉
U+344A,8,㑊
U+344B,8,㑋
U+344C,8,㑌
U+344D,8,㑍
U+344E,8,㑎
U+344F,8,㑏
U+3450,8,㑐
U+3454,8,㑔
U+3457,9,㑗
U+3458,9,㑘
U+3459,9,㑙
U+345A,9,㑚
U+345B,9,㑛
U+345C,9,㑜
U+345D,9,㑝
U+345E,9,㑞
U+345F,9,㑟
U+3463,10,㑣
U+3464,11,㑤
U+3465,10,㑥
U+3466,10,㑦
U+3467,10,㑧
U+3468,10,㑨
U+3469,10,㑩
U+346A,10,㑪
U+346E,11,㑮
U+346F,11,㑯
U+3470,11,㑰
U+3471,11,㑱
U+3473,12,㑳
U+3475,12,㑵
U+3476,12,㑶
U+3477,12,㑷
U+3478,12,㑸
U+3479,12,㑹
U+347A,12,㑺
U+347B,13,㑻
U+347C,13,㑼
U+347D,13,㑽
U+347E,13,㑾
U+347F,13,㑿
U+3480,13,㒀
U+3481,13,㒁
U+3482,14,㒂
U+3483,14,㒃
U+3484,14,㒄
U+3485,14,㒅
U+3486,14,㒆
U+3487,14,㒇
U+3488,14,㒈
U+3489,14,㒉
U+348A,14,㒊
U+348B,14,㒋
U+348C,14,㒌
U+348D,14,㒍
U+348E,14,㒎
U+3491,15,㒑
U+3492,15,㒒
U+3493,15,㒓
U+3494,15,㒔
U+3495,15,㒕
U+3496,15,㒖
U+3497,15,㒗
U+3499,16,㒙
U+349A,16,㒚
U+349B,16,㒛
U+349C,16,㒜
U+349D,17,㒝
U+349E,17,㒞
U+349F,18,㒟
U+34A0,18,㒠
U+34A1,19,㒡
U+34A4,20,㒤
U+34A5,20,㒥
U+34A6,20,㒦
U+34A7,21,㒧
U+34A9,23,㒩
U+34AB,6,㒫
U+34B0,5,㒰
U+34B2,6,㒲
U+34B3,7,㒳
U+34B4,7,㒴
U+34B5,7,㒵
U+34B7,7,㒷
U+34B8,9,㒸
U+34BB,11,㒻
U+34BC,11,㒼
U+34BD,12,㒽
U+34BE,13,㒾
U+34BF,22,㒿
U+34C1,4,㓁
U+34C2,9,㓂
U+34C3,12,㓃
U+34C4,15,㓄
U+34C5,4,㓅
U+34C8,7,㓈
U+34C9,8,㓉
U+34CA,8,㓊
U+34CB,8,㓋
U+34CC,8,㓌
U+34CE,9,㓎
U+34CF,9,㓏
U+34D0,10,㓐
U+34D1,10,㓑
U+34D3,11,㓓
U+34D4,12,㓔
U+34D6,13,㓖
U+34D7,14,㓗
U+34D8,11,㓘
U+34DA,5,㓚
U+34DC,5,㓜
U+34DD,6,㓝
U+34DE,6,㓞
U+34DF,7,㓟
U+34E0,7,㓠
U+34E1,8,㓡
U+34E2,8,㓢
U+34E3,8,㓣
U+34E4,8,㓤
U+34E5,8,㓥
U+34E6,8,㓦
U+34E7,9,㓧
U+34E8,9,㓨
U+34E9,9,㓩
U+34EA,9,㓪
U+34ED,10,㓭
U+34EE,10,㓮
U+34EF,10,㓯
U+34F0,10,㓰
U+34F1,11,㓱
U+34F2,11,㓲
U+34F3,11,㓳
U+34F4,11,㓴
U+34F5,11,㓵
U+34F6,11,㓶
U+34F7,12,㓷
U+34F8,12,㓸
U+34F9,12,㓹
U+34FA,12,㓺
U+34FC,13,㓼
U+34FD,13,㓽
U+34FE,14,㓾
U+3500,14,㔀
U+3501,14,㔁
U+3502,14,㔂
U+3503,14,㔃
U+3504,14,㔄
U+3505,14,㔅
U+3506,14,㔆
U+3509,14,㔉
U+350A,15,㔊
U+350B,16,㔋
U+350C,16,㔌
U+350D,16,㔍
U+350E,17,㔎
U+350F,17,㔏
U+3511,19,㔑
U+3512,20,㔒
U+3513,5,㔓
