codepoint,zhuyin,char
U+3007,ㄌㄧㄥˊ,〇
U+3400,ㄑㄧㄡ,㐀
U+3401,ㄊㄧㄢˋ,㐁
U+3404,ㄎㄨㄚˋ,㐄
U+3405,ㄨˇ,㐅
U+3406,ㄧㄣˇ,㐆
U+340C,ㄧˊ,㐌
U+3416,ㄒㄧㄝˊ,㐖
U+341C,ㄔㄡˊ,㐜
U+3421,ㄋㄨㄛˋ,㐡
U+3424,ㄉㄢ,㐤
U+3428,ㄒㄩˋ,㐨
U+3429,ㄒㄧㄥˊ,㐩
U+342B,ㄒㄩㄥ,㐫
U+342C,ㄌㄧㄡˊ,㐬
U+342D,ㄌㄧㄣˇ,㐭
U+342E,ㄒㄧㄤ,㐮
U+342F,ㄩㄥ,㐯
U+3430,ㄒㄧㄣˋ,㐰
U+3431,ㄓㄣˇ,㐱
U+3432,ㄉㄞˋ,㐲
U+3433,ㄨˋ,㐳
U+3434,ㄆㄢ,㐴
U+3435,ㄖㄨˊ,㐵
U+3437,ㄇㄚˇ,㐷
U+3438,ㄑㄧㄢˋ,㐸
U+3439,ㄧˋ,㐹
U+343A,ㄧㄣˊ,㐺
U+343B,ㄋㄟˋ,㐻
U+343C,ㄔㄥˋ,㐼
U+343D,ㄈㄥ,㐽
U+3441,ㄓㄨㄛ,㑁
U+3442,ㄈㄤˇ,㑂
U+3443,ㄠˇ,㑃
U+3444,ㄨˇ,㑄
U+3445,ㄗㄨㄛˋ,㑅
U+3447,ㄓㄡˋ,㑇
U+3448,ㄉㄨㄥˋ,㑈
U+3449,ㄙㄨˋ,㑉
U+344A,ㄧˋ,㑊
U+344B,ㄑㄩㄥˊ,㑋
U+344C,ㄎㄨㄤ,㑌
U+344D,ㄌㄟˋ,㑍
U+344E,ㄋㄠˇ,㑎
U+344F,ㄓㄨˋ,㑏
U+3450,ㄕㄨ,㑐
U+3454,ㄒㄩˇ,㑔
U+3457,ㄕㄣ,㑗
U+3458,ㄐㄧㄝˋ,㑘
U+3459,ㄉㄧㄝˊ,㑙
U+345A,ㄋㄨㄛˊ,㑚
U+345B,ㄙㄨˋ,㑛
U+345C,ㄧˋ,㑜
U+345D,ㄌㄨㄥˋ,㑝
U+345E,ㄧㄥˋ,㑞
U+345F,ㄅㄥˇ,㑟
U+3463,ㄌㄢˊ,㑣
U+3464,ㄇㄧㄠˊ,㑤
U+3465,ㄧˋ,㑥
U+3466,ㄌㄧˋ,㑦
U+3467,ㄐㄧˋ,㑧
U+3468,ㄩˇ,㑨
U+3469,ㄌㄨㄛˊ,㑩
U+346A,ㄔㄞˊ,㑪
U+346E,ㄏㄨㄣˊ,㑮
U+346F,ㄒㄩˇ,㑯
U+3470,ㄏㄨㄟˋ,㑰
U+3471,ㄖㄠˇ,㑱
U+3473,ㄓㄡˋ,㑳
U+3475,ㄏㄢˋ,㑵
U+3476,ㄒㄧˋ,㑶
U+3477,ㄊㄞˋ,㑷
U+3478,ㄧㄠˊ,㑸
U+3479,ㄏㄨㄟˋ,㑹
U+347A,ㄐㄩㄣˋ,㑺
U+347B,ㄇㄚˋ,㑻
U+347C,ㄌㄩㄝˋ,㑼
U+347D,ㄊㄤˊ,㑽
U+347E,ㄧㄠˊ,㑾
U+347F,ㄓㄠˋ,㑿
U+3480,ㄓㄞ,㒀
U+3481,ㄩˇ,㒁
U+3482,ㄓㄨㄛˊ,㒂
U+3483,ㄦˋ,㒃
U+3484,ㄖㄢˇ,㒄
U+3485,ㄑㄧˇ,㒅
U+3486,ㄔˋ,㒆
U+3487,ㄨˇ,㒇
